이름,제조회사,모델명,가격,배기량,연식,색상,주행거리,변속기,연료,차종,압류/저당,구동방식,사고유무,전손이력,생산지
쉐보레(GM대우) 임팔라 3.6 LTZ,쉐보레,임팔라,1570,3564,2016,검정색,78300,자동,휘발유,대형차,0,전륜,0,0,국산차
르노코리아(삼성) 클리오 인텐스,르노삼성,클리오,1190,1461,2018,빨간색,42202,자동,경유,소형차,0,전륜,0,0,국산차
아우디 뉴 A6 (C7) 35 TDI 프리미엄 C7,아우디,A6,3110,1968,2018,은회색,57238,자동,경유,중형차,0,전륜,0,0,외제차
벤츠 A-클래스 W177 가솔린 2WD A220 해치백,벤츠,A클래스,3090,1991,2019,빨간색,18524,자동,휘발유,소형차,0,전륜,0,0,외제차
기아 스포티지 4세대 디젤 1.7 2WD 노블레스 세부등급 없음,기아,스포티지,1610,1685,2018,흰색,77321,자동,경유,SUV,0,전륜,0,0,국산차
쌍용 티볼리 아머 LX 2WD,쌍용,티볼리,1520,1597,2018,청색,29431,자동,휘발유,SUV,0,전륜,0,0,국산차
현대 코나 디젤 1.6 2WD 모던 테크,현대,코나,1520,1582,2018,쥐색,119119,자동,경유,SUV,0,전륜,0,0,국산차
르노코리아(삼성) SM7 노바 LPLI 2.0 LPe 세부등급없음,르노삼성,SM7,1330,1998,2017,쥐색,43978,자동,LPG,대형차,0,전륜,0,0,국산차
BMW 5시리즈 (G30) 530i xDrive M 스포츠 플러스,BMW,5시리즈,4320,1998,2018,쥐색,78373,자동,휘발유,중형차,0,4륜,0,0,외제차
기아 모하비 4WD KV300 세부등급 없음,기아,모하비,1730,2959,2013,쥐색,136643,자동,경유,SUV,0,4륜,0,0,국산차
쌍용 뉴코란도 C 2.0 CVX 2WD 최고급형,쌍용,코란도,1130,1998,2014,흰색,46230,자동,경유,SUV,0,전륜,0,0,국산차
벤츠 C-클래스 W205 C200,벤츠,C클래스,3850,1991,2019,검정색,31499,자동,휘발유,준중형차,0,후륜,0,0,외제차
현대 더 뉴 그랜저 하이브리드 가솔린 2.4 하이브리드 캘리그래피,현대,그랜저,4230,2359,2020,진주색,48048,자동,하이브리드,대형차,0,전륜,0,0,국산차
기아 셀토스 가솔린 터보 1.6 2WD 노블레스,기아,셀토스,2460,1591,2020,흰색,39661,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 K3 트렌디,기아,K3,990,1591,2015,청색,73416,자동,휘발유,준중형차,0,전륜,0,0,국산차
지프 컴패스 2세대 2.4 리미티드,지프,컴패스,2480,2360,2018,흰색,31903,자동,휘발유,SUV,0,4륜,0,0,외제차
기아 올 뉴 K7 2.2 디젤 리미티드,기아,K7,2240,2199,2017,기타색,68989,자동,경유,대형차,0,전륜,0,0,국산차
기아 올 뉴 모닝 디럭스 트렌디,기아,모닝,670,998,2015,흰색,62224,자동,휘발유,경차,0,전륜,0,0,국산차
현대 캐스퍼 가솔린 1.0 터보 인스퍼레이션,현대,레이,2150,998,2022,쥐색,3553,자동,휘발유,경차,0,전륜,0,0,국산차
쉐보레(GM대우) 스파크 LS 스타,쉐보레,스파크,440,995,2012,은색,65495,자동,휘발유,경차,0,전륜,1,0,국산차
기아 K5 2세대 LPI MX 럭셔리,기아,K5,960,1999,2016,은색,99300,자동,LPG,중형차,0,전륜,0,0,국산차
현대 더 뉴 아반떼 1.6 VGT 모던 기본형,현대,아반떼,920,1582,2014,흰색,93419,자동,경유,준중형차,0,전륜,0,0,국산차
현대 쏘나타 뉴 라이즈 LPI 스타일,현대,쏘나타,1360,1999,2018,흰색,68105,자동,LPG,중형차,0,전륜,0,0,국산차
쌍용 뉴코란도 C 2.0 RX 2WD 최고급형,쌍용,코란도,1130,1998,2015,흰색,69419,자동,경유,SUV,0,전륜,0,0,국산차
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,현대,그랜저,2310,2359,2019,검정색,71455,자동,휘발유,대형차,0,전륜,0,0,국산차
현대 아반떼 MD M16 GDI 탑,현대,아반떼,810,1591,2012,흰색,78284,자동,휘발유,준중형차,0,전륜,0,0,국산차
폭스바겐 티구안 2세대 2.0 TDI 프레스티지,폭스바겐,티구안,2980,1968,2018,검정색,58505,자동,경유,SUV,0,전륜,1,0,외제차
현대 그랜저 IG 2.4 프리미엄 스페셜,현대,그랜저,2500,2359,2018,쥐색,38071,자동,휘발유,대형차,0,전륜,0,0,국산차
기아 올 뉴 카렌스 2.0 LPi 프레스티지,기아,카렌스,1450,1999,2016,은색,43070,자동,LPG,RV,0,전륜,0,0,국산차
쉐보레(GM대우) 스파크 LT 기본형,쉐보레,스파크,630,995,2013,분홍색,29935,자동,휘발유,경차,0,전륜,0,0,국산차
쌍용 티볼리 디젤 LX 2WD,쌍용,티볼리,1170,1597,2017,청색,72405,자동,경유,SUV,0,전륜,0,0,국산차
현대 아반떼 MD M16 GDI 에비뉴,현대,아반떼,730,1591,2014,검정색,102118,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 더 뉴 쏘울 1.6 GDi 프레스티지,기아,쏘울,1390,1591,2017,청색,32313,자동,휘발유,준중형차,0,전륜,1,0,국산차
쉐보레(GM대우) 더 뉴 말리부 1.6 디젤 LT 프리미엄,쉐보레,말리부,2090,1598,2020,흰색,42877,자동,경유,중형차,0,전륜,0,0,국산차
현대 아반떼 MD M16 GDI 디럭스,현대,아반떼,690,1591,2012,은색,78924,자동,휘발유,준중형차,0,전륜,0,0,국산차
제네시스 G80 3.3 GDI 프리미엄 럭셔리,제네시스,제네시스,3320,3342,2018,검정색,50930,자동,휘발유,대형차,0,후륜,0,0,국산차
현대 제네시스 DH G330 프리미엄 AWD,현대,제네시스,2590,3342,2016,검정색,66595,자동,휘발유,대형차,0,4륜,0,0,국산차
현대 그랜저 HG HG240 럭셔리,현대,그랜저,890,2359,2012,검정색,111283,자동,휘발유,대형차,0,전륜,0,0,국산차
현대 코나 1.6 터보 2WD 프리미엄,현대,코나,2190,1591,2018,청색,33710,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 올 뉴 모닝 디럭스 트렌디,기아,모닝,670,998,2014,진주색,37040,자동,휘발유,경차,0,전륜,0,0,국산차
쉐보레(GM대우) 더 뉴 스파크 LT,쉐보레,스파크,1140,999,2021,진주색,8704,자동,휘발유,경차,0,전륜,0,0,국산차
기아 K5 3세대 가솔린 터보 1.6 시그니처,기아,K5,3080,1598,2021,쥐색,13602,자동,휘발유,중형차,0,전륜,0,0,국산차
르노삼성 SM5 노바 1.6 TCE,르노삼성,SM5,990,1618,2015,흰색,100822,자동,휘발유,중형차,0,전륜,0,0,국산차
현대 아이오닉 일렉트릭 Q,현대,아이오닉,2230,78,2018,흰색,83475,자동,전기,준중형차,0,전륜,0,0,국산차
현대 그랜저 IG 하이브리드 익스클루시브 세부등급 없음,현대,그랜저,2880,2359,2019,쥐색,64849,자동,하이브리드,대형차,0,전륜,0,0,국산차
기아 올 뉴 K7 2.4 GDI 리미티드,기아,K7,2230,2359,2017,쥐색,36903,자동,휘발유,대형차,0,전륜,0,0,국산차
쉐보레(GM대우) 더 뉴 트랙스 1.4 프리미어,쉐보레,트랙스,1790,1362,2019,청색,8307,자동,휘발유,SUV,0,전륜,1,0,국산차
현대 그랜저 HG HG240 모던,현대,그랜저,1450,2359,2015,은색,32621,자동,휘발유,대형차,0,전륜,0,0,국산차
현대 그랜저 IG 하이브리드 익스클루시브 스페셜,현대,그랜저,3300,2359,2019,흰색,66521,자동,하이브리드,대형차,0,전륜,0,0,국산차
기아 오피러스 프리미엄 GH330 노블레스,기아,오피러스,690,3342,2011,은색,116475,자동,휘발유,대형차,0,전륜,0,0,국산차
현대 더 뉴 그랜저 하이브리드 가솔린 2.4 하이브리드 익스클루시브,현대,그랜저,3730,2359,2020,검정색,47074,자동,하이브리드,대형차,0,전륜,0,0,국산차
기아 K5 3세대 가솔린 2.0 시그니처,기아,K5,2950,1999,2020,흰색,16890,자동,휘발유,중형차,0,전륜,0,0,국산차
르노삼성 QM3 RE,르노삼성,QM3,1020,1461,2014,진주색,58870,자동,경유,SUV,0,전륜,0,0,국산차
제네시스 G80 3.3 GDI AWD 럭셔리,제네시스,제네시스,2410,3342,2017,검정색,92461,자동,휘발유,대형차,0,4륜,0,0,국산차
쉐보레(GM대우) 임팔라 3.6 LTZ,쉐보레,임팔라,1750,3564,2017,검정색,77337,자동,휘발유,대형차,0,전륜,0,0,국산차
제네시스 G70 3.3T 스포츠 AWD 엘리트,제네시스,제네시스,3520,3342,2019,쥐색,46890,자동,휘발유,중형차,0,4륜,0,0,국산차
아우디 A7 50 TDI 콰트로 프리미엄 4G,아우디,A7,4110,2967,2016,쥐색,73435,자동,경유,대형차,0,4륜,0,0,외제차
르노삼성 뉴SM3 SE 플러스,르노삼성,SM3,520,1598,2013,쥐색,73722,자동,휘발유,준중형차,0,전륜,0,0,국산차
제네시스 G80 3.3 GDI AWD 프레스티지,제네시스,제네시스,3550,3342,2018,검정색,72696,자동,휘발유,대형차,0,4륜,0,0,국산차
현대 올 뉴 투싼 디젤 2.0 2WD 프리미엄,현대,투싼,1850,1995,2016,쥐색,67156,자동,경유,SUV,0,전륜,1,0,국산차
현대 그랜저 HG 하이브리드 프리미엄,현대,그랜저,1710,2359,2015,청색,80890,자동,하이브리드,대형차,0,전륜,0,0,국산차
현대 더 뉴 그랜저 가솔린 2.5 르블랑,현대,그랜저,3520,2497,2022,청색,13084,자동,휘발유,대형차,0,전륜,0,0,국산차
르노삼성 캡처 가솔린 1.3 에디션 파리,르노삼성,캡처,2280,1332,2020,검정색,11774,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 올 뉴 모닝 (JA) 트렌디,기아,모닝,720,998,2019,진주색,61377,자동,휘발유,경차,0,전륜,1,0,국산차
르노삼성 뉴SM5 플래티넘 RE 기본형,르노삼성,SM5,730,1998,2013,흰색,43746,자동,휘발유,중형차,0,전륜,1,0,국산차
현대 아반떼 MD M16 GDI 스마트,현대,아반떼,790,1591,2013,쥐색,103923,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 K5 2세대 LPI MX 프레스티지,기아,K5,1230,1999,2016,흰색,91734,자동,LPG,중형차,0,전륜,0,0,국산차
르노삼성 SM7 노바 2.5 V6,르노삼성,SM7,1850,2495,2018,쥐색,27972,자동,휘발유,대형차,0,전륜,0,0,국산차
BMW 3시리즈 GT (F34) GT 320d 럭셔리,BMW,3시리즈,3180,1995,2018,청색,64465,자동,경유,준중형차,0,후륜,0,0,외제차
현대 아이오닉 일렉트릭 N,현대,아이오닉,2250,78,2018,흰색,64400,자동,전기,준중형차,0,전륜,0,0,국산차
현대 아반떼 (CN7) 가솔린 1.6 터보 (N라인) 인스퍼레이션,현대,아반떼,2750,1598,2021,쥐색,13761,자동,휘발유,준중형차,0,전륜,0,0,국산차
쌍용 코란도 투리스모 4WD GT 9인승,쌍용,코란도,950,1998,2014,청색,135687,자동,경유,RV,0,4륜,0,0,국산차
쌍용 렉스턴 스포츠 디젤 2.2 4WD 프레스티지,쌍용,렉스턴,2120,2157,2019,쥐색,68425,자동,경유,SUV,0,4륜,0,0,국산차
현대 그랜저 IG 하이브리드 익스클루시브 스페셜,현대,그랜저,3070,2359,2018,은회색,54827,자동,하이브리드,대형차,0,전륜,0,0,국산차
제네시스 G80 3.3 GDI AWD 프리미엄 럭셔리,제네시스,제네시스,3520,3342,2018,쥐색,45083,자동,휘발유,대형차,0,4륜,0,0,국산차
현대 더 뉴 그랜저 LPG 3.0 (일반인판매용) 익스클루시브,현대,그랜저,3720,2999,2021,검정색,20364,자동,LPG,대형차,0,전륜,0,0,국산차
현대 그랜저 IG 3.0 익스클루시브 세부등급 없음,현대,그랜저,2160,2999,2018,검정색,80738,자동,휘발유,대형차,0,전륜,0,0,국산차
르노삼성 클리오 인텐스,르노삼성,클리오,1150,1461,2018,흰색,71304,자동,경유,소형차,0,전륜,0,0,국산차
BMW 5시리즈 (F10) 528i xDrive,BMW,5시리즈,2360,1997,2016,은색,80187,자동,휘발유,중형차,0,4륜,0,0,외제차
기아 더 뉴 카니발 9인승 프레스티지,기아,카니발,2550,2199,2019,흰색,57385,자동,경유,RV,0,전륜,0,0,국산차
BMW 5시리즈 (G30) 540i xDrive 럭셔리 플러스,BMW,5시리즈,5190,2998,2018,흰색,51094,자동,휘발유,중형차,0,4륜,0,0,외제차
르노삼성 QM6 디젤 4WD RE 시그니처,르노삼성,QM6,2100,1995,2019,검정색,77907,자동,경유,SUV,0,4륜,0,0,국산차
현대 그랜저 IG 하이브리드 익스클루시브 스페셜,현대,그랜저,3220,2359,2019,쥐색,43371,자동,하이브리드,대형차,0,전륜,1,0,국산차
현대 더 뉴 그랜드 스타렉스 밴 5인승 모던,현대,스타렉스,2250,2497,2019,흰색,53940,자동,경유,승합차,0,전륜,0,0,국산차
기아 올 뉴 카니발 7인승 리무진 프레지던트,기아,카니발,2520,2199,2017,쥐색,113952,자동,경유,RV,0,전륜,0,0,국산차
현대 그랜저 HG HG240 럭셔리,현대,그랜저,930,2359,2012,검정색,138160,자동,휘발유,대형차,0,전륜,0,0,국산차
현대 올 뉴 투싼 디젤 1.7 2WD 모던,현대,투싼,1500,1685,2017,흰색,99040,자동,경유,SUV,0,전륜,0,0,국산차
현대 쏘나타 뉴 라이즈 2.0 프리미엄 스페셜,현대,쏘나타,1780,1999,2019,흰색,100724,자동,휘발유,중형차,0,전륜,0,0,국산차
현대 i30(신형) 1.6 GDI 익스트림,현대,i30,920,1591,2012,검정색,97497,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 올 뉴 카니발 9인승 럭셔리,기아,카니발,2080,2199,2018,쥐색,62028,자동,경유,RV,0,전륜,0,0,국산차
현대 아반떼 MD M16 GDI 럭셔리,현대,아반떼,780,1591,2012,흰색,98693,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 더 K9 3.8 GDI AWD 플래티넘Ⅱ,기아,K9,3890,3778,2019,흰색,44502,자동,휘발유,대형차,0,4륜,0,0,국산차
현대 그랜저 HG HG240 모던,현대,그랜저,1260,2359,2013,검정색,59379,자동,휘발유,대형차,0,전륜,1,0,국산차
르노삼성 SM6 2.0 LPe SE (렌터카),르노삼성,SM6,1450,1998,2019,검정색,57847,자동,LPG,중형차,0,전륜,0,0,국산차
현대 그랜저 IG 하이브리드 익스클루시브 세부등급 없음,현대,그랜저,2990,2359,2019,쥐색,51396,자동,하이브리드,대형차,0,전륜,0,0,국산차
기아 모하비 더 마스터 디젤 3.0 4WD 마스터즈 7인승,기아,모하비,4510,2959,2020,검정색,28101,자동,경유,SUV,0,4륜,0,0,국산차
현대 아반떼 MD M16 GDI 럭셔리,현대,아반떼,690,1591,2012,은색,92419,자동,휘발유,준중형차,0,전륜,0,0,국산차
포드 익스플로러 2.3 리미티드 4WD 5세대,포드,익스플로러,2690,2261,2017,흰색,66306,자동,휘발유,SUV,0,4륜,1,0,외제차
기아 올 뉴 K3 럭셔리,기아,K3,1730,1598,2019,청색,27456,자동,휘발유,준중형차,0,전륜,0,0,국산차
제네시스 EQ900 3.8 GDI AWD 럭셔리,제네시스,제네시스,3780,3778,2016,쥐색,39448,자동,휘발유,대형차,0,4륜,0,0,국산차
벤츠 C-클래스 W204 C200 CGI 아방가르드,벤츠,C클래스,1300,1796,2011,은색,38031,자동,휘발유,준중형차,0,후륜,0,0,외제차
쌍용 더 뉴 코란도 스포츠 2.2 CX7 4WD 클럽,쌍용,코란도,1550,2157,2017,은색,57452,자동,경유,SUV,0,4륜,1,0,국산차
현대 더 뉴 그랜저 가솔린 3.3 익스클루시브,현대,그랜저,3350,3342,2020,검정색,19600,자동,휘발유,대형차,0,전륜,0,0,국산차
벤츠 E-클래스 W212 E250 CDI 4MATIC,벤츠,E클래스,2060,2143,2014,은색,118739,자동,경유,중형차,0,4륜,0,0,외제차
기아 스팅어 2.2 디젤 AWD 프라임,기아,스팅어,3050,2199,2020,청색,34630,자동,경유,중형차,0,4륜,0,0,국산차
제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,제네시스,제네시스,6190,2497,2021,쥐색,6516,자동,휘발유,대형차,0,4륜,0,0,국산차
기아 더 K9 3.8 GDI AWD 플래티넘Ⅱ,기아,K9,3890,3778,2019,흰색,44502,자동,휘발유,대형차,0,4륜,0,0,국산차
현대 그랜저 HG HG240 모던,현대,그랜저,1260,2359,2013,검정색,59379,자동,휘발유,대형차,0,전륜,1,0,국산차
르노삼성 SM6 2.0 LPe SE (렌터카),르노삼성,SM6,1450,1998,2019,검정색,57847,자동,LPG,중형차,0,전륜,0,0,국산차
현대 그랜저 IG 하이브리드 익스클루시브 세부등급 없음,현대,그랜저,2990,2359,2019,쥐색,51396,자동,하이브리드,대형차,0,전륜,0,0,국산차
기아 모하비 더 마스터 디젤 3.0 4WD 마스터즈 7인승,기아,모하비,4510,2959,2020,검정색,28101,자동,경유,SUV,0,4륜,0,0,국산차
현대 아반떼 MD M16 GDI 럭셔리,현대,아반떼,690,1591,2012,은색,92419,자동,휘발유,준중형차,0,전륜,0,0,국산차
포드 익스플로러 2.3 리미티드 4WD 5세대,포드,익스플로러,2690,2261,2017,흰색,66306,자동,휘발유,SUV,0,4륜,1,0,외제차
기아 올 뉴 K3 럭셔리,기아,K3,1730,1598,2019,청색,27456,자동,휘발유,준중형차,0,전륜,0,0,국산차
제네시스 EQ900 3.8 GDI AWD 럭셔리,제네시스,제네시스,3780,3778,2016,쥐색,39448,자동,휘발유,대형차,0,4륜,0,0,국산차
벤츠 C-클래스 W204 C200 CGI 아방가르드,벤츠,C클래스,1300,1796,2011,은색,38031,자동,휘발유,준중형차,0,후륜,0,0,외제차
쌍용 더 뉴 코란도 스포츠 2.2 CX7 4WD 클럽,쌍용,코란도,1550,2157,2017,은색,57452,자동,경유,SUV,0,4륜,1,0,국산차
현대 더 뉴 그랜저 가솔린 3.3 익스클루시브,현대,그랜저,3350,3342,2020,검정색,19600,자동,휘발유,대형차,0,전륜,0,0,국산차
벤츠 E-클래스 W212 E250 CDI 4MATIC,벤츠,E클래스,2060,2143,2014,은색,118739,자동,경유,중형차,0,4륜,0,0,외제차
기아 스팅어 2.2 디젤 AWD 프라임,기아,스팅어,3050,2199,2020,청색,34630,자동,경유,중형차,0,4륜,0,0,국산차
제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,제네시스,제네시스,6190,2497,2021,쥐색,6516,자동,휘발유,대형차,0,4륜,0,0,국산차
기아 스포티지 4세대 디젤 2.0 2WD 노블레스 플러스,기아,스포티지,1870,1995,2018,흰색,91886,자동,경유,SUV,0,전륜,0,0,국산차
르노삼성 QM6 가솔린 2WD LE,르노삼성,QM6,1990,1997,2019,청색,27690,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 올 뉴 K7 3.0 GDI 노블레스,기아,K7,2480,2999,2019,검정색,51526,자동,휘발유,대형차,0,전륜,0,0,국산차
BMW 3시리즈 (F30) 320d ED에디션,BMW,3시리즈,1250,1995,2012,은색,117958,자동,경유,준중형차,0,후륜,0,0,외제차
쉐보레(GM대우) 크루즈 2.0 LTZ+,쉐보레,크루즈,580,1998,2014,흰색,82113,자동,경유,준중형차,0,전륜,0,0,국산차
쌍용 티볼리 LX 2WD 세부등급 없음,쌍용,티볼리,1340,1597,2016,흰색,52310,자동,휘발유,SUV,0,전륜,0,0,국산차
현대 제네시스 DH G330 모던,현대,제네시스,2030,3342,2015,쥐색,64628,자동,휘발유,대형차,0,후륜,0,0,국산차
제네시스 G70 3.3T 스포츠 AWD 슈프림,제네시스,제네시스,3100,3342,2018,검정색,55687,자동,휘발유,중형차,0,4륜,1,0,국산차
BMW 3시리즈 (F30) 320d,BMW,3시리즈,1880,1995,2015,검정색,61435,자동,경유,준중형차,0,후륜,0,0,외제차
기아 카니발 (4세대) 디젤 2.2 (7인승) 시그니처,기아,카니발,4390,2151,2021,쥐색,21926,자동,경유,RV,0,전륜,0,0,국산차
BMW 4시리즈 (F32) 420d 럭셔리 쿠페,BMW,4시리즈,1950,1995,2014,검정색,105000,자동,경유,스포츠카,0,후륜,0,0,외제차
현대 쏘나타 DN8 2.0 가솔린 프리미엄 플러스,현대,쏘나타,2430,1999,2022,검정색,6694,자동,휘발유,중형차,0,전륜,0,0,국산차
현대 더 뉴 아반떼 1.6 GDi 모던 기본형,현대,아반떼,980,1591,2016,흰색,110193,자동,휘발유,준중형차,0,전륜,0,0,국산차
벤츠 E-클래스 W213 E300 4MATIC 아방가르드,벤츠,E클래스,4990,1991,2018,쥐색,55401,자동,휘발유,중형차,0,4륜,0,0,외제차
기아 올 뉴 쏘렌토 디젤 2.2 2WD 노블레스,기아,쏘렌토,2340,2199,2016,흰색,47481,자동,경유,SUV,0,전륜,0,0,국산차
기아 올 뉴 K7 3.3 GDI 노블레스 스페셜,기아,K7,2490,3342,2017,검정색,72088,자동,휘발유,대형차,0,전륜,0,0,국산차
현대 포터2 CRDi 특장 파워게이트 초장축 슈퍼캡,현대,포터,2220,2497,2019,흰색,15554,자동,경유,화물차,0,후륜,0,0,국산차
현대 올 뉴 투싼 디젤 2.0 2WD 모던,현대,투싼,1570,1995,2016,은색,98260,자동,경유,SUV,0,전륜,0,0,국산차
